"movieId","movieYear","movieURL","movieTitle","critic_score","critic_sentiment","audience_score","audience_sentiment","release_date_theaters","release_date_streaming","rating","original_language","runtime"
"744cc1c3-b87d-3a76-bab9-e4dc851fc983",2000,"https://www.rottentomatoes.com/m/scream_3","Scream 3",41.0,"negative",38.0,"negative","Feb 4, 2000, Wide","May 10, 2016","R (Language|Extreme Violence)","English","1h 56m"
"7736ffbf-e66b-3d05-b9a7-72d7286f8c09",2000,"https://www.rottentomatoes.com/m/unbreakable","Unbreakable",70.0,"positive",77.0,"positive","Nov 22, 2000, Wide","Sep 1, 2016","PG-13 (Disturbing Content|Crude Sexual Reference|Mature Thematic Elements|Violent Content)","English","1h 47m"
"77c72419-77c2-30c1-929d-c506f500c61e",2000,"https://www.rottentomatoes.com/m/1093641-hurricane","The Hurricane",83.0,"positive",87.0,"positive","Jan 14, 2000, Wide","Feb 12, 2014","R (Violence|Language)","English","2h 26m"
"79d69323-5b12-30fa-b041-619662a190e9",2000,"https://www.rottentomatoes.com/m/requiem_for_a_dream","Requiem for a Dream",78.0,"positive",93.0,"positive","Oct 27, 2000, Wide","Dec 6, 2015","R","English","1h 41m"
"7ab91f6c-132a-3f40-bd0f-9b49c1d02339",2000,"https://www.rottentomatoes.com/m/1100998-contender","The Contender",77.0,"positive",73.0,"positive","Oct 13, 2000, Wide","May 8, 2015","R (Strong Sexual Content|Language)","English","2h 6m"
"7d0d6c8a-0ff2-3a1e-b78c-403d29d1ed5c",2000,"https://www.rottentomatoes.com/m/chicken_run","Chicken Run",97.0,"positive",65.0,"positive","Jun 21, 2000, Wide","Nov 25, 2015","G","English","1h 25m"
"7d737961-6246-3ab4-bfcd-4ae4107ab47f",2000,"https://www.rottentomatoes.com/m/pitch_black","Pitch Black",60.0,"positive",77.0,"positive","Feb 18, 2000, Wide","Jul 22, 2015","R (Language|Gore|Sci-Fi Violence)","English","1h 48m"
"80d4c412-1c3c-3ab4-9597-6c6c31e7f303",2000,"https://www.rottentomatoes.com/m/autumn_in_new_york","Autumn in New York",20.0,"negative",53.0,"negative","Aug 11, 2000, Wide","Oct 1, 2016","PG-13 (Sensuality|Language)","English","1h 43m"
"882e3f8b-22c8-35c0-b1b5-24ce3d992b4e",2000,"https://www.rottentomatoes.com/m/almost_famous","Almost Famous",91.0,"positive",92.0,"positive","Sep 15, 2000, Wide","Aug 1, 2013","R (Drug Content|Brief Nudity|Language)","English","2h 2m"
"88483d30-5ac8-307f-b58a-5a832c30c321",2000,"https://www.rottentomatoes.com/m/legend_of_drunken_master","Drunken Master II",84.0,"positive",88.0,"positive","Oct 20, 2000, Wide","Apr 4, 2017","R (Violent Content)","Chinese","1h 42m"
"88cf2ef9-7406-3445-93ce-46618a9958c9",2000,"https://www.rottentomatoes.com/m/affair_to_remember","An Affair to Remember",67.0,"positive",87.0,"positive","Jan 1, 2000, Wide","Nov 25, 2015","","English","1h 55m"
"89896d57-0fb9-3b87-ac53-14b239507305",2000,"https://www.rottentomatoes.com/m/dancer_in_the_dark","Dancer in the Dark",70.0,"positive",91.0,"positive","Oct 6, 2000, Wide","Apr 1, 2012","R (Some Violence)","English","2h 20m"
"8d76ec94-ac4e-3c81-b853-c751013a954d",2000,"https://www.rottentomatoes.com/m/jsa-joint-security-area-aka-gongdong-gyeongbi-guyeok","Joint Security Area",88.0,"positive",89.0,"positive","Sep 9, 2000, Original","Dec 15, 2014","","Korean","1h 47m"
"8e45d19a-1ce8-3d90-8e94-52d5685e34db",2000,"https://www.rottentomatoes.com/m/1098149-patriot","The Patriot",62.0,"positive",81.0,"positive","Jun 28, 2000, Wide","Apr 16, 2012","R (Strong Violence)","English","2h 38m"
"8f5183d2-c0ec-37f6-a152-550214abad33",2000,"https://www.rottentomatoes.com/m/dracula_2000","Wes Craven Presents: Dracula 2000",17.0,"negative",39.0,"negative","Dec 22, 2000, Wide","Apr 19, 2016","R (Language|Gore|Some Sexuality|Violence)","English","1h 39m"
"91d21513-b6fa-32c7-a6ae-53eccc37295c",2000,"https://www.rottentomatoes.com/m/1097245-hamlet","Hamlet",59.0,"negative",46.0,"negative","Jan 24, 2000, Original","Nov 8, 2016","R","English","1h 51m"
"92badf82-2826-3f06-902f-df58453d5586",2000,"https://www.rottentomatoes.com/m/rules_of_engagement","Rules of Engagement",37.0,"negative",55.0,"negative","Mar 31, 2000, Wide","Jan 1, 2011","R (Violence|Language)","English","2h 8m"
"960e12c9-5d9f-399f-9a2a-5d228a6574c6",2000,"https://www.rottentomatoes.com/m/1097046-dinosaur","Dinosaur",65.0,"positive",48.0,"negative","May 19, 2000, Wide","Jan 1, 2014","PG (Intense Images)","English","1h 22m"
"966075c6-f038-3fdc-a285-92e7cfaf029a",2000,"https://www.rottentomatoes.com/m/heavy_metal_2000","Heavy Metal 2000",8.0,"negative",36.0,"negative","Jul 10, 2000, Wide","Apr 16, 2012","R","English","1h 28m"
"979600d4-7aad-3017-b0c7-47752ffb1749",2000,"https://www.rottentomatoes.com/m/mission_impossible_2","Mission: Impossible II",56.0,"negative",42.0,"negative","May 24, 2000, Wide","Jan 1, 2011","PG-13","English","2h 3m"
"97a1f7a6-3409-38db-a572-4494dd457cf2",2000,"https://www.rottentomatoes.com/m/perfect_storm","The Perfect Storm",46.0,"negative",63.0,"positive","Jun 30, 2000, Wide","Jun 1, 2009","PG-13","English","2h 9m"
"98a5935b-390a-3479-91a4-8a9c60350ff1",2000,"https://www.rottentomatoes.com/m/bounce","Bounce",53.0,"negative",32.0,"negative","Nov 15, 2000, Wide","May 23, 2016","PG-13","English","1h 46m"
"9997ee8a-e7bd-38da-8968-e58f40ed5ef5",2000,"https://www.rottentomatoes.com/m/the_crimson_rivers","The Crimson Rivers",68.0,"positive",70.0,"positive","Sep 27, 2000, Original","Nov 30, 2019","R (Language|Grisly Images|Violence)","French (France)","1h 46m"
"9a6610d4-6980-3d48-af11-bca6367f13c2",2000,"https://www.rottentomatoes.com/m/bring_it_on","Bring It On",65.0,"positive",66.0,"positive","Aug 25, 2000, Wide","Feb 12, 2014","PG-13 (Sex-Related Material|Language)","English","1h 38m"
"9ad4822a-54f3-3f5f-a96d-b7f5094ecdfa",2000,"https://www.rottentomatoes.com/m/next_friday","Next Friday",21.0,"negative",76.0,"positive","Jan 12, 2000, Wide","Apr 1, 2010","R","English","1h 39m"
"9fca7a41-24e1-3895-930d-d98a0ace423a",2000,"https://www.rottentomatoes.com/m/center_stage","Center Stage",41.0,"negative",82.0,"positive","May 12, 2000, Wide","Apr 9, 2013","PG-13 (Sensuality|Language)","English","1h 54m"
"a030b957-8e2e-30b2-a527-ebde688a038f",2000,"https://www.rottentomatoes.com/m/ninth_gate","The Ninth Gate",43.0,"negative",58.0,"negative","Mar 10, 2000, Wide","Aug 26, 2016","R (Violence|Sexuality)","English","2h 13m"
"a25e4634-8882-37c7-82a7-eea7dbf2323d",2000,"https://www.rottentomatoes.com/m/what_lies_beneath","What Lies Beneath",47.0,"negative",58.0,"negative","Jul 21, 2000, Wide","Jul 1, 2013","PG-13 (Sensuality|Brief Language|Terror|Violence)","English","2h 6m"
"ab1c0bbd-4faa-3802-b0b6-a21e5126394f",2000,"https://www.rottentomatoes.com/m/big_mommas_house","Big Momma's House",30.0,"negative",57.0,"negative","Jun 2, 2000, Wide","Sep 2, 2014","PG-13 (Language|Crude Humor|Violence)","English","1h 38m"
"ac667a9f-6e95-35da-bb26-c41f1b7f8c2f",2000,"https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon","Crouching Tiger, Hidden Dragon",98.0,"positive",86.0,"positive","Dec 22, 2000, Wide","Apr 16, 2012","PG-13 (Some Sexuality|Martial Arts Violence)","Chinese","2h 0m"
"acd6f797-40c7-369a-9363-dfcac4da174e",2000,"https://www.rottentomatoes.com/m/flintstones_in_viva_rock_vegas","The Flintstones in Viva Rock Vegas",25.0,"negative",20.0,"negative","Apr 28, 2000, Wide","Nov 10, 2014","PG (Innuendo|Brief Language)","English","1h 27m"
"af9ea03a-ffb7-3321-84fc-48bbc760e5e8",2000,"https://www.rottentomatoes.com/m/titan_ae","Titan A.E.",50.0,"negative",61.0,"positive","Jun 16, 2000, Wide","May 1, 2013","PG (Brief Language|Action/Violence|Mild Sensuality)","English","1h 35m"
"b08c9c60-ffea-3963-9682-670e1c9c34db",2000,"https://www.rottentomatoes.com/m/1098038-shaft","Shaft",67.0,"positive",41.0,"negative","Jun 16, 2000, Wide","Nov 1, 2016","R (Strong Violence|Language)","English","1h 38m"
"b280d580-4325-369e-971f-c614e4c44a83",2000,"https://www.rottentomatoes.com/m/fantasia_2000","Fantasia 2000",80.0,"positive",75.0,"positive","Jun 16, 2000","May 5, 2017","G","English","1h 15m"
"b4a75974-1927-34a2-a438-b4ce89270f35",2000,"https://www.rottentomatoes.com/m/magnolia","Magnolia",82.0,"positive",89.0,"positive","Jan 7, 2000, Wide","Feb 6, 2014","R (Language|Drug Use|Sexuality|Violence)","English","3h 8m"
"b4cf6c56-a78a-3ebe-8338-f2e70a75c9ec",2000,"https://www.rottentomatoes.com/m/ginger_snaps","Ginger Snaps",90.0,"positive",78.0,"positive","Apr 21, 2000, Wide","Nov 30, 2016","","English","1h 48m"
"b67fad79-75c7-352e-9ca5-f13e88ec7410",2000,"https://www.rottentomatoes.com/m/best_in_show","Best in Show",93.0,"positive",88.0,"positive","Sep 29, 2000, Wide","Apr 3, 2008","PG-13","English","1h 30m"
"b6bf6059-bc6c-3584-9216-70a973ee76b9",2000,"https://www.rottentomatoes.com/m/battlefield_earth","Battlefield Earth",3.0,"negative",13.0,"negative","May 12, 2000, Wide","May 2, 2017","PG-13 (Sci-Fi Violence)","English","1h 57m"
"b718f5e3-7138-3d72-b7e5-bb8f2fae1e85",2000,"https://www.rottentomatoes.com/m/1100569-get_carter","Get Carter",11.0,"negative",28.0,"negative","Oct 6, 2000, Wide","Jul 24, 2014","R (Language|Drug Content|Some Sexuality|Violence)","English","1h 44m"
"b92617f2-b07a-3a13-86a4-aaeb8252f8df",2000,"https://www.rottentomatoes.com/m/mission_to_mars","Mission to Mars",24.0,"negative",30.0,"negative","Mar 10, 2000, Wide","Aug 10, 2016","PG (Sci-Fi Violence|Language)","English","1h 52m"
"bb5eb091-f8e0-314a-adf7-c1b9f38e3188",2000,"https://www.rottentomatoes.com/m/meet_the_parents","Meet the Parents",85.0,"positive",79.0,"positive","Oct 6, 2000, Wide","Jun 7, 2016","PG-13 (Language|Drug References|Sexual Content)","English","1h 48m"
"bc1abdf5-6d39-3160-852e-b992a63e6b53",2000,"https://www.rottentomatoes.com/m/the_cell_2000","The Cell",45.0,"negative",57.0,"negative","Aug 18, 2000, Wide","Jun 1, 2011","R (Nudity|Language|Sexual Content|Violence)","English","1h 47m"
"bd36bb7f-3d02-354c-b66d-554c1b94c425",2000,"https://www.rottentomatoes.com/m/thomas_and_the_magic_railroad","Thomas and the Magic Railroad",21.0,"negative",42.0,"negative","Jul 26, 2000, Wide","Apr 16, 2012","G","English","1h 26m"
"be1b5c65-d21a-3423-b26a-6e46db4c053a",2000,"https://www.rottentomatoes.com/m/yards","The Yards",64.0,"positive",51.0,"negative","Apr 27, 2000, Original","Oct 8, 2016","R (Scene of Sexuality|Language|Violence)","English","1h 55m"
"c081eb41-6f3c-3e43-b09e-954d8053ead2",2000,"https://www.rottentomatoes.com/m/how_the_grinch_stole_christmas","How the Grinch Stole Christmas",49.0,"negative",58.0,"negative","Dec 3, 2023","Dec 1, 2015","PG (Crude Humor)","English","1h 45m"
"c2a4c999-5c51-38f4-87c6-107d5d882180",2000,"https://www.rottentomatoes.com/m/1095081-boiler_room","Boiler Room",66.0,"positive",78.0,"positive","Feb 18, 2000, Wide","Jan 11, 2010","R (Strong Language|Drug Content)","English","2h 0m"
"c95322ef-25bf-3a90-8aa4-a325bf34e1ca",2000,"https://www.rottentomatoes.com/m/1100197-under_suspicion","Under Suspicion",49.0,"negative",48.0,"negative","Sep 22, 2000, Wide","May 25, 2010","R (Sexual Content|Language)","English","1h 50m"
"ce902266-cb31-3d91-9260-bd7f1b86b310",2000,"https://www.rottentomatoes.com/m/1097865-gone_in_60_seconds","Gone in Sixty Seconds",26.0,"negative",77.0,"positive","Jun 9, 2000, Wide","Feb 1, 2017","PG-13 (Sexuality|Language|Violence)","English","1h 57m"
"d4028b80-7717-3c34-a277-b44f869af07d",2000,"https://www.rottentomatoes.com/m/coyote_ugly","Coyote Ugly",23.0,"negative",71.0,"positive","Aug 4, 2000, Wide","Nov 23, 2016","PG-13 (Sensuality)","English","1h 40m"
"d5ebf8e1-0798-32b9-9162-11e83322c5a6",2000,"https://www.rottentomatoes.com/m/bamboozled","Bamboozled",53.0,"negative",74.0,"positive","Oct 20, 2000, Wide","Dec 6, 2020","R (Strong Language|Some Violence)","English","2h 15m"
"d71c4297-74c8-3a4d-834d-daa6462fd226",2000,"https://www.rottentomatoes.com/m/3_strikes","3 Strikes",0.0,"negative",67.0,"positive","Mar 1, 2000, Wide","Nov 1, 2017","R (Language|Drug Use|Brief Violence|Strong Sexual Content)","English","1h 22m"
"d787e9cf-9be5-3c06-9ddf-14c8f3cc1c40",2000,"https://www.rottentomatoes.com/m/little_vampire","The Little Vampire",55.0,"negative",55.0,"negative","Oct 27, 2000, Wide","Oct 1, 2010","PG (Some Mild Peril)","English","1h 37m"
"db345f41-58ed-302e-ae1f-17a139bae053",2000,"https://www.rottentomatoes.com/m/nutty_professor_ii_the_klumps","Nutty Professor II: The Klumps",27.0,"negative",33.0,"negative","Jul 28, 2000, Wide","Apr 19, 2016","PG-13 (Sex-Related Material|Crude Humor)","English","1h 46m"
"de0ec326-702d-3acc-9fc6-5bd8de7ba475",2000,"https://www.rottentomatoes.com/m/little_nicky","Little Nicky",22.0,"negative",55.0,"negative","Nov 10, 2000, Wide","May 10, 2016","PG-13 (Drug Content|Crude Sexual Humor|Language|Thematic Elements)","English","1h 30m"
"de5a4798-9c27-3598-9ca9-d56966b92154",2000,"https://www.rottentomatoes.com/m/girl_interrupted","Girl, Interrupted",53.0,"negative",84.0,"positive","Jan 14, 2000, Wide","Apr 16, 2012","R (Sexuality|Drug Use|Strong Language)","English","2h 7m"
"deba3e8e-129c-33dc-9ad2-1bde13dfce30",2000,"https://www.rottentomatoes.com/m/charlies_angels","Charlie's Angels",68.0,"positive",45.0,"negative","Nov 3, 2000, Wide","Apr 16, 2012","PG-13 (Innuendo|Action/Violence|Nudity|Sensuality)","English","1h 38m"
"dedd6f81-984c-3d50-b76a-e6bf52d660d0",2000,"https://www.rottentomatoes.com/m/1101561-1101561-malena","Malena",53.0,"negative",84.0,"positive","Dec 25, 2000, Wide","Apr 15, 2016","R (Language|Sexuality|Nudity|Some Violence)","Italian","1h 46m"
